File_name,Number
sound0,"[3, 6, 5, 2, 5, 6, 2, 4, 5, 4]"
sound1,"[4, 1, 5, 5, 4, 3, 7, 2, 7, 8]"
sound2,"[3, 9, 6, 3, 1, 9, 6, 2, 7, 5]"
sound3,"[1, 0, 5, 5, 1, 6, 7, 6, 3, 2]"
sound4,"[0, 6, 2, 7, 9, 1, 2, 1, 0, 1]"
sound5,"[9, 7, 5, 9, 5, 5, 6, 7, 9, 5]"
sound6,"[7, 4, 9, 4, 4, 9, 7, 2, 2, 1]"
sound7,"[1, 7, 7, 1, 3, 3, 7, 0, 3, 8]"
sound8,"[1, 2, 3, 3, 8, 8, 4, 7, 1, 1]"
sound9,"[8, 1, 9, 5, 6, 0, 2, 7, 9, 3]"
sound10,"[4, 3, 2, 0, 0, 6, 2, 9, 9, 1]"
sound11,"[9, 4, 7, 2, 3, 4, 9, 7, 3, 6]"
sound12,"[6, 4, 4, 8, 0, 3, 7, 2, 0, 3]"
sound13,"[6, 3, 5, 6, 8, 2, 9, 7, 7, 8]"
sound14,"[2, 7, 2, 0, 0, 5, 8, 4, 7, 6]"
sound15,"[4, 5, 4, 6, 1, 8, 6, 1, 1, 2]"
sound16,"[1, 3, 6, 1, 3, 3, 9, 7, 8, 0]"
sound17,"[3, 0, 0, 6, 0, 2, 5, 7, 3, 5]"
sound18,"[0, 9, 7, 6, 4, 0, 5, 6, 5, 8]"
sound19,"[0, 3, 0, 9, 5, 7, 4, 8, 7, 4]"
sound20,"[5, 0, 7, 3, 0, 2, 7, 2, 3, 3]"
sound21,"[1, 5, 7, 5, 4, 9, 1, 3, 2, 0]"
sound22,"[3, 9, 2, 5, 9, 2, 0, 1, 6, 0]"
sound23,"[6, 2, 6, 9, 3, 2, 6, 3, 6, 7]"
sound24,"[9, 0, 9, 9, 6, 9, 4, 7, 1, 2]"
sound25,"[6, 0, 7, 4, 0, 6, 2, 8, 6, 9]"
sound26,"[2, 1, 7, 0, 2, 3, 3, 9, 1, 1]"
sound27,"[2, 1, 8, 2, 6, 7, 4, 1, 4, 1]"
sound28,"[9, 3, 1, 3, 0, 4, 0, 3, 0, 0]"
sound29,"[8, 9, 6, 8, 8, 7, 4, 3, 5, 7]"
sound30,"[2, 9, 5, 6, 4, 0, 7, 5, 1, 9]"
sound31,"[1, 5, 0, 6, 4, 7, 4, 1, 3, 7]"
sound32,"[4, 9, 4, 3, 8, 9, 6, 1, 8, 8]"
sound33,"[7, 5, 3, 5, 0, 5, 3, 8, 3, 3]"
sound34,"[3, 3, 0, 0, 1, 9, 8, 1, 6, 9]"
sound35,"[4, 5, 1, 1, 4, 9, 4, 6, 8, 4]"
sound36,"[4, 0, 0, 5, 0, 3, 9, 4, 6, 4]"
sound37,"[3, 0, 3, 5, 3, 6, 1, 4, 1, 5]"
sound38,"[6, 7, 3, 1, 6, 4, 6, 3, 6, 1]"
sound39,"[2, 2, 4, 0, 4, 0, 0, 4, 9, 0]"
sound40,"[7, 1, 5, 7, 0, 8, 1, 6, 1, 2]"
sound41,"[5, 0, 5, 5, 1, 5, 4, 2, 8, 0]"
sound42,"[2, 1, 5, 6, 2, 6, 4, 7, 9, 9]"
sound43,"[4, 6, 5, 9, 7, 4, 0, 3, 4, 5]"
sound44,"[1, 7, 7, 8, 3, 3, 6, 7, 7, 5]"
sound45,"[7, 9, 2, 1, 5, 6, 1, 8, 4, 9]"
sound46,"[3, 4, 1, 6, 4, 1, 3, 3, 5, 0]"
sound47,"[2, 2, 5, 2, 4, 8, 4, 8, 4, 3]"
sound48,"[8, 5, 6, 5, 4, 6, 0, 6, 2, 6]"
sound49,"[6, 3, 5, 0, 8, 9, 9, 6, 2, 9]"
sound50,"[0, 4, 2, 7, 2, 1, 9, 9, 7, 9]"
sound51,"[5, 3, 7, 5, 4, 3, 6, 6, 9, 8]"
sound52,"[0, 0, 2, 5, 7, 5, 6, 8, 0, 7]"
sound53,"[2, 4, 5, 5, 1, 6, 3, 7, 1, 3]"
sound54,"[3, 5, 7, 1, 0, 1, 3, 0, 7, 1]"
